Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
7.631,-0.127717548,-0.479826051,-2.331659044,-0.715842993,-1.295854743,-1.564521818,-3.106388719,2.5,1
7.732,-0.127951676,-0.479579369,-2.331757651,-0.715818611,-1.294824578,-1.562926819,-3.106586323,2.5,1
7.832,-0.127926994,-0.481614705,-2.332249749,-0.715965836,-1.293205648,-1.56418789,-3.109349014,2.5,1
7.934,-0.127754454,-0.480356472,-2.332446964,-0.716015066,-1.295511355,-1.565708605,-3.109299613,2.5,1
8.035,-0.127520325,-0.48128156,-2.332890227,-0.716064297,-1.296664091,-1.566858603,-3.108756673,2.5,1
8.136,-0.127557348,-0.480430465,-2.33239766,-0.716162759,-1.295462232,-1.566969676,-3.107572931,2.5,1
8.237,-0.127729889,-0.481799629,-2.331855789,-0.71618714,-1.292985065,-1.565560389,-3.107276996,2.5,1
8.338,-0.127939335,-0.480085086,-2.331363691,-0.716137909,-1.295854743,-1.564002532,-3.107918267,2.5,1
8.439,-0.128136558,-0.4800605,-2.331412995,-0.71618714,-1.296737775,-1.563557178,-3.108263604,2.5,1
8.54,-0.12807497,-0.481713284,-2.333431629,-0.71618714,-1.295413344,-1.564966819,-3.108164802,2.5,1
8.64,-0.127890088,-0.480541513,-2.333530236,-0.716260752,-1.293353015,-1.566710033,-3.108510138,2.5,1
8.743,-0.127631277,-0.481244623,-2.33279162,-0.716285602,-1.296222692,-1.567674674,-3.10915141,2.5,1
8.843,-0.127680524,-0.480936181,-2.33239766,-0.716408445,-1.296443509,-1.566190748,-3.109595549,2.5,1
8.945,-0.127865406,-0.481849036,-2.332939062,-0.716384064,-1.295413344,-1.565003961,-3.107918267,2.5,1
9.047,-0.12807497,-0.480245423,-2.333234884,-0.716432826,-1.293868097,-1.563853963,-3.107375327,2.5,1
9.149,-0.128136558,-0.480097437,-2.332594405,-0.716432826,-1.298675532,-1.565115034,-3.10752353,2.5,1
9.249,-0.128001041,-0.48210807,-2.332200445,-0.716432826,-1.296001876,-1.566636102,-3.109496747,2.5,1
9.349,-0.127791477,-0.480763492,-2.333333022,-0.716457676,-1.295020834,-1.567526104,-3.109496747,2.5,1
9.452,-0.127692866,-0.481528361,-2.334022334,-0.716457676,-1.294456629,-1.567674674,-3.108904876,2.5,1
9.552,-0.127754454,-0.480886892,-2.333333022,-0.71662975,-1.29899436,-1.565820032,-3.108806074,2.5,1
9.653,-0.127964017,-0.48215736,-2.332643709,-0.716678981,-1.296124448,-1.564447533,-3.109250212,2.5,1
9.754,-0.128185805,-0.480504458,-2.332446964,-0.716678981,-1.294284935,-1.564039675,-3.109349014,2.5,1
9.855,-0.12824751,-0.480516809,-2.332988365,-0.716678981,-1.296762336,-1.564707176,-3.108658341,2.5,1
9.956,-0.128124217,-0.482120422,-2.333382325,-0.716703362,-1.298675532,-1.567118246,-3.108066,2.5,1
10.057,-0.127914771,-0.48099794,-2.333234884,-0.716728212,-1.296075559,-1.567971105,-3.10915141,2.5,1
10.158,-0.127803818,-0.481478954,-2.333037669,-0.716703362,-1.293843536,-1.567600389,-3.11023682,2.5,1
10.259,-0.127951676,-0.481145926,-2.333480933,-0.716826205,-1.297596245,-1.565189319,-3.110385023,2.5,1
10.36,-0.12816124,-0.482342401,-2.333924196,-0.716900286,-1.2982339,-1.564521818,-3.109052608,2.5,1
10.46,-0.128346122,-0.480516809,-2.333825589,-0.716900286,-1.296345264,-1.564447533,-3.108411336,2.5,1
10.562,-0.12824751,-0.480615506,-2.333431629,-0.716924667,-1.296713214,-1.56563432,-3.108904876,2.5,1
10.663,-0.128099535,-0.482342401,-2.332840924,-0.716924667,-1.2982339,-1.568008247,-3.10964495,2.5,1
10.764,-0.127939335,-0.481219919,-2.333530236,-0.716900286,-1.297571684,-1.567897174,-3.109743752,2.5,1
10.866,-0.1279887,-0.481775043,-2.334317687,-0.716900286,-1.296198131,-1.567229319,-3.109299613,2.5,1
10.966,-0.128185805,-0.481195216,-2.333530236,-0.716949048,-1.29693403,-1.564670034,-3.109595549,2.5,1
11.067,-0.128370687,-0.482490505,-2.332988365,-0.71704751,-1.299043482,-1.564670034,-3.110385023,2.5,1
