Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],weight,model
7.253,-0.232499369,-0.826100996,-4.496184198,-1.293301465,-2.386276647,-2.975203871,-4.85789323,5,2
7.354,-0.233534612,-0.824435742,-4.495937915,-1.293252234,-2.382597503,-2.976910297,-4.858633304,5,2
7.455,-0.23251171,-0.826520368,-4.495790238,-1.293252234,-2.384191756,-2.978764585,-4.859619912,5,2
7.557,-0.23267191,-0.825619865,-4.495642562,-1.293252234,-2.386080508,-2.979580656,-4.861149461,5,2
7.657,-0.233214214,-0.825780203,-4.495839542,-1.293252234,-2.384265439,-2.978542085,-4.862284272,5,2
7.757,-0.23284445,-0.824879818,-4.495642562,-1.293227619,-2.385859692,-2.976984228,-4.862925544,5,2
7.859,-0.233164849,-0.826470961,-4.495987218,-1.293227619,-2.382867325,-2.976242442,-4.863369682,5,2
7.96,-0.233164849,-0.826027003,-4.495691866,-1.293252234,-2.38573712,-2.976242442,-4.863961553,5,2
8.061,-0.232807544,-0.825632217,-4.495691866,-1.293227619,-2.382965453,-2.978579227,-4.863862751,5,2
8.162,-0.233152626,-0.824916755,-4.495544189,-1.293227619,-2.384437133,-2.979803156,-4.864010954,5,2
8.264,-0.232992309,-0.82471948,-4.495593258,-1.293252234,-2.385540865,-2.98002601,-4.864208088,5,2
8.364,-0.233152626,-0.826261334,-4.496036522,-1.293547151,-2.384755961,-2.977800299,-4.86430689,5,2
8.465,-0.232782862,-0.825459527,-4.496085591,-1.293620998,-2.385614431,-2.976539227,-4.864602825,5,2
8.566,-0.233349731,-0.825644569,-4.496430247,-1.293645613,-2.383308841,-2.976279584,-4.864454622,5,2
8.667,-0.233485365,-0.824941459,-4.496282571,-1.293965146,-2.385810686,-2.977243871,-4.86430689,5,2
8.768,-0.23309092,-0.827272767,-4.498646096,-1.294505983,-2.384584266,-2.98110137,-4.864158687,5,2
8.869,-0.233793423,-0.826508016,-4.499926114,-1.295120432,-2.387723766,-2.982548153,-4.864257489,5,2
