"Time [s]","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT #6 (194512) (AVG) []","LVDT #6 (194512) (RMS) []","LVDT #6 (194512) (MIN) []","LVDT #6 (194512) (MAX) []","LVDT #6 (194512) []","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
2.078,,,,,-0.000603891871,,,,,0.000000000000,,,,,-0.064148272953,,,,,-0.423116791959,,,,,-0.155113205211,,,,,-0.220848702905,,,,,-0.347997031509,,,,,-0.430117937868,,,,,-0.004899978638,,,,,-0.520050048828,,,,,-0.631000518799,,,,,-0.900400161743,,,,,-0.938199996948,,,,,0.000000000000,,,,,-0.859350204468,,,,,-0.871849060059
2.179,,,,,-0.000221669924,,,,,0.000000000000,,,,,-0.073695603349,,,,,-0.482742332109,,,,,-0.177065062546,,,,,-0.250085826478,,,,,-0.397255229667,,,,,-0.578712346698,,,,,-0.001798629761,,,,,-0.597450256348,,,,,-0.720300674438,,,,,-1.019599914551,,,,,-1.071000099182,,,,,0.000000000000,,,,,-0.980449676514,,,,,-1.173049926758
2.280,,,,,-0.000763973756,,,,,0.000000000000,,,,,-0.084858780594,,,,,-0.558764402764,,,,,-0.203859606793,,,,,-0.283811558454,,,,,-0.456824854503,,,,,-0.663369644082,,,,,-0.006198883057,,,,,-0.687950134277,,,,,-0.829300880432,,,,,-1.157099723816,,,,,-1.231599807739,,,,,0.000000000000,,,,,-1.134850502014,,,,,-1.344650268555
2.381,,,,,0.001084607665,,,,,0.000000000000,,,,,-0.117275237567,,,,,-0.653003484143,,,,,-0.277728809368,,,,,-0.382536148247,,,,,-0.534940544151,,,,,-0.767908251574,,,,,0.008800506592,,,,,-0.950750350952,,,,,-1.129800796509,,,,,-1.559599876404,,,,,-1.442199707031,,,,,0.000000000000,,,,,-1.326250076294,,,,,-1.556550025940
2.482,,,,,0.002933189086,,,,,0.000000000000,,,,,-0.134371499532,,,,,-0.866543419076,,,,,-0.320329544232,,,,,-0.441353783644,,,,,-0.713056202105,,,,,-1.022372742151,,,,,0.023799896240,,,,,-1.089349746704,,,,,-1.303100585938,,,,,-1.799399375916,,,,,-1.922399520874,,,,,0.000000000000,,,,,-1.759949684143,,,,,-2.072349548340
2.583,,,,,0.003512398727,,,,,0.000000000000,,,,,-0.154119863071,,,,,-0.967626792348,,,,,-0.359734719951,,,,,-0.494898257374,,,,,-0.795771530898,,,,,-1.145313453016,,,,,0.028499603271,,,,,-1.249449729919,,,,,-1.463400840759,,,,,-2.017700195313,,,,,-2.145400047302,,,,,0.000000000000,,,,,-1.965250015259,,,,,-2.321550369263
2.685,,,,,0.006038918706,,,,,0.000000000000,,,,,-0.190150448084,,,,,-1.065805004126,,,,,-0.396140791556,,,,,-0.543855644191,,,,,-0.880266863090,,,,,-1.258337268349,,,,,0.048999786377,,,,,-1.541549682617,,,,,-1.611500740051,,,,,-2.217299461365,,,,,-2.373199462891,,,,,0.000000000000,,,,,-2.164649963379,,,,,-2.550649642944
2.733,0.001080917084,0.002453769299,-0.000763973756,0.006038918706,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-0.092032806521,0.106118509078,-0.190150448084,-0.017608213442,,-0.565357011037,0.641830053871,-1.065805004126,-0.138872541975,,-0.211450530833,0.241102530769,-0.396140791556,-0.048353257081,,-0.293735525671,0.333238141545,-0.543855644191,-0.070909907603,,-0.463623781233,0.527647395670,-0.880266863090,-0.110793538193,,-0.662136171978,0.754716330182,-1.258337268349,-0.163320608191,,0.008770560846,0.019909884781,-0.006198883057,0.048999786377,,-0.746109962463,0.860302746296,-1.541549682617,-0.142749786377,,-0.860180735588,0.980805099010,-1.611500740051,-0.196701049805,,-1.197559714317,1.358611941338,-2.217299461365,-0.289099693298,,-1.249929666519,1.422537326813,-2.373199462891,-0.298699378967,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-1.148240089417,1.303556799889,-2.164649963379,-0.282050132751,,-1.342149972916,1.529809951782,-2.550649642944,-0.331050872803,
2.785,,,,,0.007616465745,,,,,0.000000000000,,,,,-0.212205534168,,,,,-1.337740234645,,,,,-0.497369991291,,,,,-0.679053071962,,,,,-1.106936075567,,,,,-1.411568783279,,,,,0.061800003052,,,,,-1.720350265503,,,,,-2.023301124573,,,,,-2.768499374390,,,,,-2.984299659729,,,,,0.000000000000,,,,,-2.716950416565,,,,,-2.861249923706
2.886,,,,,0.007517971897,,,,,0.000000000000,,,,,-0.230930112390,,,,,-1.454973150391,,,,,-0.542158456913,,,,,-0.739048239002,,,,,-1.204562116447,,,,,-1.710680946083,,,,,0.061000823975,,,,,-1.872150421143,,,,,-2.205500602722,,,,,-3.013099670410,,,,,-3.247499465942,,,,,0.000000000000,,,,,-2.955050468445,,,,,-3.467550277710
2.987,,,,,0.008885837524,,,,,0.000000000000,,,,,-0.251998233195,,,,,-1.569744168333,,,,,-0.586480166005,,,,,-0.800367836745,,,,,-1.303560655973,,,,,-1.849851998779,,,,,0.072099685669,,,,,-2.042949676514,,,,,-2.385801315308,,,,,-3.263099670410,,,,,-3.514399528503,,,,,0.000000000000,,,,,-3.188150405884,,,,,-3.749650001526
3.088,,,,,0.009354329738,,,,,0.000000000000,,,,,-0.283131870577,,,,,-1.673338273545,,,,,-0.657645181451,,,,,-0.894971767535,,,,,-1.389465629170,,,,,-1.972446902726,,,,,0.075901031494,,,,,-2.295350074768,,,,,-2.675300598145,,,,,-3.648799896240,,,,,-3.745999336243,,,,,0.000000000000,,,,,-3.398550033569,,,,,-3.998149871826
3.189,,,,,0.008257498493,,,,,0.000000000000,,,,,-0.291963739373,,,,,-1.821934912722,,,,,-0.683849891730,,,,,-0.926637170009,,,,,-1.508197020352,,,,,-2.143142372737,,,,,0.067001342773,,,,,-2.366950035095,,,,,-2.781901359558,,,,,-3.777899742126,,,,,-4.066099166870,,,,,0.000000000000,,,,,-3.700349807739,,,,,-4.344149589539
3.290,,,,,0.009157106975,,,,,0.000000000000,,,,,-0.303213261376,,,,,-1.885352141748,,,,,-0.707694328406,,,,,-0.956904575291,,,,,-1.562314500441,,,,,-2.214726286683,,,,,0.074300765991,,,,,-2.458149909973,,,,,-2.878900527954,,,,,-3.901299953461,,,,,-4.211999893188,,,,,0.000000000000,,,,,-3.829150199890,,,,,-4.489250183105
3.390,,,,,0.008947660631,,,,,0.000000000000,,,,,-0.310614324607,,,,,-1.933751935034,,,,,-0.725713099702,,,,,-0.981702212759,,,,,-1.598886990759,,,,,-2.268598770119,,,,,0.072601318359,,,,,-2.518150329590,,,,,-2.952200889587,,,,,-4.002399921417,,,,,-4.310599327087,,,,,0.000000000000,,,,,-3.927450180054,,,,,-4.598449707031
3.492,,,,,0.007776782699,,,,,0.000000000000,,,,,-0.321678805325,,,,,-1.989192765432,,,,,-0.747640341550,,,,,-1.011233719243,,,,,-1.643916619638,,,,,-2.310137943970,,,,,0.063100814819,,,,,-2.607850074768,,,,,-3.041400909424,,,,,-4.122799873352,,,,,-4.431999206543,,,,,0.000000000000,,,,,-4.040050506592,,,,,-4.682649612427
